episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
99,-46.0371,-0.35966,-44.8676,-43.5202,1.06726,0.00148,3.97772,0.008042,0.010675,ppo
100,-45.8976,-0.35857,-44.8738,-43.5202,1.06909,0.00189,3.95078,0.006673,0.012225,ppo
101,-45.9622,-0.35908,-44.9959,-43.5202,1.06871,0.00186,3.96234,0.006643,0.011595,ppo
102,-45.6795,-0.35687,-44.988,-43.5202,1.06762,0.00143,3.91592,0.01344,0.00945,ppo
103,-46.0015,-0.35939,-45.0931,-43.5202,1.06885,0.00183,3.9684,0.006588,0.010921,ppo
104,-45.9762,-0.35919,-45.0987,-43.5202,1.06873,0.00185,3.96455,0.00663,0.011395,ppo
105,-44.6058,-0.34848,-45.0593,-43.5202,1.06805,0.0015,3.74744,0.013065,0.008768,ppo
106,-45.842,-0.35814,-45.1392,-43.5202,1.06806,0.00178,3.94655,0.00642,0.009672,ppo
107,-45.7362,-0.35731,-45.2492,-43.5202,1.06757,0.00192,3.92976,0.006744,0.012896,ppo
108,-43.7668,-0.34193,-45.1874,-43.5202,1.06824,0.00156,3.62205,0.006928,0.008275,ppo
109,-44.6992,-0.34921,-45.1235,-43.5202,1.06841,0.00149,3.76088,0.013116,0.008826,ppo
110,-45.0889,-0.35226,-45.0869,-43.5202,1.06743,0.00173,3.83132,0.006307,0.008752,ppo
111,-44.2449,-0.34566,-45.0948,-43.5202,1.06722,0.00167,3.70012,0.006552,0.008164,ppo
112,-43.5702,-0.34039,-45.0383,-43.5202,1.06832,0.00158,3.59123,0.00682,0.00817,ppo
113,-46.0009,-0.35938,-45.1312,-43.5202,1.06739,0.00151,3.97161,0.007994,0.010883,ppo
114,-45.9755,-0.35918,-45.2306,-43.5202,1.0689,0.00186,3.9639,0.006635,0.011461,ppo
115,-45.8629,-0.3583,-45.3143,-43.5202,1.06847,0.0019,3.94716,0.006679,0.012332,ppo
116,-45.9744,-0.35917,-45.317,-43.5202,1.06799,0.0018,3.96725,0.006475,0.010039,ppo
117,-44.0841,-0.34441,-45.3416,-43.5202,1.06863,0.00154,3.66455,0.012792,0.008413,ppo
118,-45.8815,-0.35845,-45.3444,-43.5202,1.06872,0.00189,3.94935,0.006675,0.012259,ppo
119,-43.7171,-0.34154,-45.2284,-43.5202,1.06784,0.00162,3.61577,0.006645,0.008078,ppo
120,-45.8256,-0.35801,-45.2248,-43.5202,1.06731,0.00169,3.94422,0.007581,0.012094,ppo
121,-45.7653,-0.35754,-45.2149,-43.5202,1.06784,0.00184,3.93331,0.007062,0.012751,ppo
122,-45.7726,-0.3576,-45.2196,-43.5202,1.06796,0.00183,3.93404,0.007121,0.012707,ppo
123,-45.8472,-0.35818,-45.2119,-43.5202,1.06766,0.00142,3.94185,0.013544,0.009562,ppo
124,-43.9724,-0.34353,-45.1117,-43.5202,1.0683,0.00154,3.64815,0.012738,0.008353,ppo
125,-45.8142,-0.35792,-45.1721,-43.5202,1.06854,0.00174,3.93874,0.00744,0.012346,ppo
126,-46.0549,-0.3598,-45.1827,-43.5202,1.06777,0.0014,3.97376,0.013704,0.009718,ppo
127,-45.7949,-0.35777,-45.1857,-43.5202,1.06815,0.00177,3.9369,0.007335,0.012501,ppo
128,-43.6444,-0.34097,-45.1796,-43.5202,1.06814,0.00162,3.60348,0.006671,0.008092,ppo
129,-44.4756,-0.34747,-45.1684,-43.5202,1.06829,0.00168,3.73317,0.006265,0.008273,ppo
130,-43.58,-0.34047,-45.0929,-43.5202,1.06836,0.00158,3.59262,0.006827,0.008171,ppo
131,-45.7534,-0.35745,-45.1684,-43.5202,1.06825,0.00142,3.92552,0.013479,0.00949,ppo
132,-44.1641,-0.34503,-45.198,-43.5202,1.06838,0.00153,3.67778,0.012829,0.008457,ppo
133,-45.954,-0.35902,-45.1957,-43.5202,1.0667,0.00154,3.96629,0.007949,0.011082,ppo
134,-46.0544,-0.3598,-45.1997,-43.5202,1.06714,0.00147,3.98084,0.008059,0.010564,ppo
135,-45.9942,-0.35933,-45.2062,-43.5202,1.06784,0.0018,3.97071,0.006501,0.010203,ppo
136,-45.896,-0.35856,-45.2023,-43.5202,1.06776,0.00162,3.95392,0.007772,0.01166,ppo
137,-45.771,-0.35759,-45.2866,-43.5202,1.06808,0.00192,3.93372,0.006702,0.012797,ppo
138,-43.6444,-0.34097,-45.1748,-43.5202,1.06814,0.00162,3.60348,0.006671,0.008092,ppo
139,-44.1641,-0.34503,-45.1971,-43.5202,1.06838,0.00153,3.67778,0.012829,0.008457,ppo
140,-45.959,-0.35905,-45.2038,-43.5202,1.06918,0.00187,3.96032,0.006655,0.011743,ppo
141,-45.4869,-0.35537,-45.1899,-43.5202,1.06747,0.00176,3.89314,0.006351,0.009188,ppo
142,-44.402,-0.34689,-45.1214,-43.5202,1.06772,0.00168,3.72342,0.006265,0.00824,ppo
143,-45.897,-0.35857,-45.1238,-43.5202,1.06735,0.0016,3.95532,0.007813,0.011546,ppo
144,-45.9569,-0.35904,-45.2231,-43.5202,1.06656,0.00153,3.96718,0.007956,0.011046,ppo
145,-45.9678,-0.35912,-45.2307,-43.5202,1.06876,0.00186,3.96309,0.006639,0.011527,ppo
146,-45.0464,-0.35192,-45.1803,-43.5202,1.06774,0.00172,3.82377,0.006303,0.008707,ppo
147,-44.9158,-0.3509,-45.1364,-43.5202,1.06847,0.00148,3.79437,0.013239,0.008969,ppo
148,-43.6076,-0.34068,-45.1345,-43.5202,1.06861,0.00157,3.59619,0.006841,0.008186,ppo
149,-44.9537,-0.3512,-45.1584,-43.5202,1.06845,0.00147,3.80062,0.012978,0.009,ppo
150,-43.752,-0.34181,-45.167,-43.5202,1.0685,0.00156,3.61899,0.006919,0.008266,ppo
151,-45.755,-0.35746,-45.1671,-43.5202,1.06818,0.00189,3.93077,0.006873,0.012854,ppo
152,-45.9845,-0.35925,-45.2581,-43.5202,1.06817,0.0018,3.96825,0.006485,0.010096,ppo
153,-45.8734,-0.35839,-45.2541,-43.5202,1.06834,0.00179,3.95057,0.00643,0.009731,ppo
154,-43.6239,-0.34081,-45.1326,-43.5202,1.06854,0.00157,3.5989,0.00685,0.008197,ppo
155,-45.7591,-0.35749,-45.1208,-43.5202,1.06838,0.00188,3.93083,0.00689,0.012841,ppo
156,-46.008,-0.35944,-45.1264,-43.5202,1.06803,0.00182,3.97211,0.006542,0.010517,ppo
157,-44.7436,-0.34956,-45.075,-43.5202,1.06784,0.0017,3.77629,0.00628,0.008451,ppo
158,-45.9152,-0.35871,-45.1886,-43.5202,1.06684,0.00157,3.95974,0.007879,0.011336,ppo
159,-46.0058,-0.35942,-45.2807,-43.5202,1.06791,0.00182,3.97212,0.006538,0.010484,ppo
160,-44.4563,-0.34732,-45.2055,-43.5202,1.0682,0.00168,3.73044,0.006264,0.008262,ppo
161,-44.0696,-0.34429,-45.1347,-43.5202,1.06721,0.00165,3.67276,0.006568,0.008115,ppo
162,-44.0841,-0.34441,-45.1188,-43.5202,1.06863,0.00154,3.66455,0.012792,0.008413,ppo
163,-44.9687,-0.35132,-45.0724,-43.5202,1.06818,0.00147,3.80374,0.01299,0.009015,ppo
164,-45.5902,-0.35617,-45.054,-43.5202,1.06758,0.00177,3.90887,0.006366,0.009316,ppo
165,-45.4306,-0.35493,-45.0272,-43.5202,1.06789,0.00175,3.88312,0.006341,0.009108,ppo
166,-45.49,-0.35539,-45.0494,-43.5202,1.06864,0.00144,3.88341,0.01331,0.009315,ppo
167,-45.7664,-0.35755,-45.0919,-43.5202,1.06836,0.00187,3.93198,0.006955,0.012814,ppo
168,-45.9319,-0.35884,-45.2081,-43.5202,1.06794,0.00141,3.95418,0.013598,0.009616,ppo
169,-45.8524,-0.35822,-45.253,-43.5202,1.06743,0.00165,3.94806,0.007686,0.01187,ppo
170,-45.2781,-0.35374,-45.3293,-43.5202,1.06866,0.00145,3.85044,0.013173,0.009189,ppo
171,-44.7925,-0.34994,-45.2812,-43.5202,1.06782,0.00149,3.77714,0.013177,0.008897,ppo
172,-45.9818,-0.35923,-45.2811,-43.5202,1.06891,0.00185,3.96496,0.006617,0.011253,ppo
173,-44.7365,-0.3495,-45.2242,-43.5202,1.06825,0.00149,3.76716,0.01314,0.008851,ppo
174,-45.775,-0.35762,-45.3318,-43.5202,1.06739,0.0018,3.93609,0.007236,0.012606,ppo
175,-45.9058,-0.35864,-45.3391,-43.5202,1.06908,0.00189,3.9521,0.006672,0.012195,ppo
