episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
111,-25.5083,-0.3986,-26.7923,-23.1388,0.913,0.4097,3.3919,0.4605,2.4252,ppo_live
112,-24.8447,-0.3882,-26.6024,-23.1388,0.8331,0.3799,3.4898,0.3624,2.5816,ppo_live
113,-26.9789,-0.4215,-26.6952,-23.1388,0.884,0.432,3.5135,0.5023,3.3279,ppo_live
114,-27.1315,-0.4239,-26.7893,-23.1388,0.9374,0.3951,3.5824,0.4802,3.0221,ppo_live
115,-24.3588,-0.3806,-26.7534,-23.1388,0.9431,0.3863,2.8097,0.4786,2.7702,ppo_live
116,-25.8288,-0.4036,-26.8314,-23.1388,0.9121,0.4405,3.0684,0.5912,3.0881,ppo_live
117,-28.3139,-0.4424,-26.743,-23.1388,0.9245,0.402,3.7447,0.7241,3.0093,ppo_live
118,-28.3069,-0.4423,-26.6408,-23.1388,0.8866,0.4612,3.157,1.0878,3.7006,ppo_live
119,-26.2506,-0.4102,-26.5594,-23.1388,0.8884,0.3821,2.7625,1.165,3.0713,ppo_live
120,-28.2342,-0.4412,-26.6088,-23.1388,0.8831,0.4456,3.4464,1.0207,3.1529,ppo_live
121,-27.7233,-0.4332,-26.5939,-23.1388,0.9793,0.3771,3.7835,0.5592,2.5144,ppo_live
122,-25.2122,-0.3939,-26.5656,-23.1388,0.8828,0.3916,3.4459,0.4408,2.3804,ppo_live
123,-23.4257,-0.366,-26.513,-23.1388,0.8731,0.3984,2.9844,0.3398,2.4466,ppo_live
124,-26.5285,-0.4145,-26.4245,-23.1388,0.8743,0.3838,3.7769,0.5436,2.4071,ppo_live
125,-24.7691,-0.387,-26.2792,-23.1388,0.8982,0.4617,2.594,0.7828,3.0181,ppo_live
126,-24.6633,-0.3854,-26.1205,-23.1388,0.951,0.4052,2.7865,0.6308,2.5791,ppo_live
127,-23.5055,-0.3673,-25.9486,-23.1388,0.9027,0.4014,2.9471,0.3668,2.3053,ppo_live
128,-24.4071,-0.3814,-25.8459,-23.1388,0.9319,0.4207,2.8792,0.4874,2.6106,ppo_live
129,-24.6682,-0.3854,-25.8031,-23.1388,0.8503,0.3945,3.0994,0.6615,2.5064,ppo_live
130,-22.9486,-0.3586,-25.6804,-22.9486,0.8499,0.4093,2.7295,0.5024,2.4518,ppo_live
131,-22.8834,-0.3576,-25.5492,-22.8834,0.8894,0.4026,2.5062,0.511,2.6577,ppo_live
132,-24.4823,-0.3825,-25.531,-22.8834,0.9031,0.3942,2.8757,0.6161,2.639,ppo_live
133,-26.0181,-0.4065,-25.483,-22.8834,0.8951,0.4143,3.1841,0.7063,2.8515,ppo_live
134,-23.8968,-0.3734,-25.3213,-22.8834,0.8238,0.4077,2.888,0.6637,2.5923,ppo_live
135,-22.7619,-0.3557,-25.2414,-22.7619,0.9516,0.4246,2.4154,0.4206,2.494,ppo_live
136,-23.7433,-0.371,-25.1371,-22.7619,0.9008,0.3685,2.9017,0.6183,2.0725,ppo_live
137,-23.6227,-0.3691,-24.9026,-22.7619,0.9034,0.429,2.3992,0.8691,2.4368,ppo_live
138,-24.2738,-0.3793,-24.7009,-22.7619,0.8674,0.4259,2.8685,0.6749,2.5351,ppo_live
139,-23.4868,-0.367,-24.5627,-22.7619,0.8189,0.3927,3.0236,0.5056,2.4022,ppo_live
140,-21.963,-0.3432,-24.2492,-21.963,0.8589,0.3837,2.5658,0.5646,1.932,ppo_live
141,-26.0939,-0.4077,-24.1677,-21.963,0.8745,0.3903,3.725,0.5944,2.0533,ppo_live
142,-21.8445,-0.3413,-23.9993,-21.8445,0.8943,0.3686,2.4303,0.4265,2.2947,ppo_live
143,-25.4079,-0.397,-24.0984,-21.8445,0.9507,0.3737,2.9619,0.8264,2.3145,ppo_live
144,-20.7675,-0.3245,-23.8104,-20.7675,0.9004,0.3693,2.2897,0.3665,1.9079,ppo_live
145,-20.8863,-0.3263,-23.6163,-20.7675,0.8691,0.3944,2.5742,0.2566,1.7362,ppo_live
146,-21.1349,-0.3302,-23.4398,-20.7675,0.8907,0.4224,2.2731,0.3304,2.2661,ppo_live
147,-22.0367,-0.3443,-23.3664,-20.7675,0.9204,0.3876,2.5616,0.2279,2.3705,ppo_live
148,-21.7528,-0.3399,-23.2337,-20.7675,0.887,0.385,2.5095,0.3754,2.1675,ppo_live
149,-23.4746,-0.3668,-23.174,-20.7675,0.8834,0.4233,2.8193,0.4123,2.5768,ppo_live
150,-21.6173,-0.3378,-23.1074,-20.7675,0.8582,0.3685,2.0921,0.7209,2.4985,ppo_live
151,-22.6124,-0.3533,-23.0939,-20.7675,0.8597,0.416,2.4619,0.604,2.5135,ppo_live
152,-22.8844,-0.3576,-23.014,-20.7675,0.8484,0.4114,2.3909,0.8784,2.3138,ppo_live
